id	description	en	local
		New Game	新規ゲーム
		Waiting for server...	サーバー待機中...
		Joined	参加
		There are ### players connected	### 人のプレイヤーが接続しています.
		Player Joined	プレイヤーが参加しました.
		### has joined the game	### がゲームに参加しました.
		Player Disconnected	プレイヤーが切断しました.
		### has left the game	### がゲームから退出しました.
		SET ROGUE MODE SAVE	ローグモードセーブに設定
		SERVER SLOWDOWN	サーバー遅延
		### is slowing the game.	### のゲームが遅延しています.
		Error connecting to server:	サーバーの接続中にエラーが発生しました:
		Connecting to server...	サーバーに接続中...
		Joining game...	ゲームに参加中...
		NEW GAME	新規ゲーム
		LOAD GAME	ゲームの読み込み
		NEW MULTIPLAYER GAME	新規マルチプレイゲーム
		LOAD MULTIPLAYER GAME	マルチプレイゲームの読み込み
		Invalid password	不正なパスワード
		Incompatible game version	互換性のないゲームバージョン
		server version	サーバのーのバージョン
		Server is full	サーバーは満員です.
		Server is not open to multiplayer	サーバーはマルチプレイ用に開かれていません.
		You are not whitelisted on this server	あなたはこのサーバーへの接続が許可されていません.
		You are missing a required DLC	サーバーから要求されたDLCがインストールされていません.
		You are banned from this server	あなたはこのサーバーから接続禁止を受けています.
		Server already has your account connected - please retry	あなたは既にこのサーバーに接続しています. 再試行してください.
		no errors detected	エラーは見つかりませんでした.
		Variables	変数
		Input 1	入力1
		Input 2	入力2
		Input 3	入力3
		Input 4	入力4
		Input 5	入力5
		Input 6	入力6
		Input 7	入力7
		Input 8	入力8
		Constants	定数
		Operators	演算子
		Addition	加算
		Subtraction	減算
		Multiply	乗算
		Divide	除算
		Modulo (fmod)	剰余算
		Power	動力
		Trigonometry (radians)	三角関数 (ラジアン)
		Sine	正弦
		Cosine	余弦
		Tangent	正接
		Arcsine	逆正弦
		Arccosine	逆余弦
		Arctangent	逆正接
		Atan2	逆正接2
		Max of x and y	x と y の内大きい方
		Min of x and y	x と y の内小さい方
		Ceil x	x を切り上げる
		Floor x	x を切り捨てる
		Round x to nearest y	x を最寄りの y に丸める
		Absolute value of x	x の絶対値
		Sign of x (1 if x=0)	x の符号 (x=0 なら 1)
		Square root of x	x の平方根
		Length of vector(x,y)	ベクトル (x,y) の長さ
		len(x,y) (no sqrt)	ベクトル (x,y) の長さ (平方根なし)
		Linearly interpolate x to y by z	x から y を z で線形補完する
		Clamp x within y and z	x を y から z の間に収める
		Conversions	変換
		m/s to kmph	メートル毎秒からメートル毎時
		m/s to mph	メートル毎秒からマイル毎時
		m/s to knots	メートル毎秒からノット (海里毎時)
		Turns to radians	回転数から弧度法
		Degrees to radians	度数法から弧度法
		Radians to degrees	弧度法から度数法
		True	真
		False	偽
		And	論理積 (AND)
		Or	論理和 (OR)
		Xor	排他的論理和 (XOR)
		Not	論理否定 (NOT)
		Click on the 'Logic' button in the top bar to enter logic connecting mode.	上部バーの「ロジック」ボタンをクリックしてロジック接続モードに入ります.
		Select the 'Data' logic type to view 'On/Off' and 'Number' logic nodes.	「オン/オフ」と「数値」のノードを見るために「データ」ロジックタイプを選択します.
